outcome,label,beta,se,t_value,p_value,r_sq,n
ncd_mortality_pct,NCD mortality (%),-0.11488029834056095,0.10195698562522985,-1.1267525970494476,0.2651208831282321,0.5305986234355434,56
diabetes_pct,Diabetes (%),0.060865832120219704,0.08349942516898692,0.7289371393520238,0.46931058257182634,0.4440583765198345,57
life_expectancy,Life expectancy (yr),0.012165826034143807,0.06298061544532561,0.19316778580395325,0.8475800921581436,0.6545899071109217,57
overweight_adult_pct,Overweight (%),0.637989505100203,0.28821150944052226,2.213615640605997,0.03126595705785095,0.12767232330112507,57
