analysis,n_samples,n_features,f1_macro,f1_std
Main model (15 features),511089,15,0.858087887159309,0.0018946199398955253
Core features only (8),511089,8,0.8408612018130734,0.001933738638743936
With fiber (16 features),388616,16,0.8627891272885739,0.0019692325198587732
Upward paradox only,511089,15,0.8720814818063698,0.0018405080709342266
