metric,mean,std
f1_macro,0.858087887159309,0.0018946199398955253
f1_weighted,0.9488438548990281,0.0006616036806937637
accuracy,0.9496115165789112,0.0006343609449730173
roc_auc,0.9595228014577227,0.0008294303887818372
precision_macro,0.8694545011892435,0.0018010566888924486
recall_macro,0.8476115586505077,0.0022957900049423324
