country_code,n_products,n_paradox_up,n_paradox_down,n_paradox_any,pct_nova4,pct_ns_healthy,pct_ns_unhealthy,mean_ns_score,mean_energy,mean_sugar,mean_salt,mean_fat,mean_sat_fat,mean_fiber,mean_protein,mean_additives,discordance_up_pct,discordance_down_pct,discordance_any_pct,ncd_mortality_pct,diabetes_pct,life_expectancy,overweight_adult_pct,gdp_per_capita_ppp,population,smoking_pct,alcohol_per_capita,health_exp_ppp_pc,health_exp_pct_gdp,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day
AFG,83,1,2,3,0.7469879518072289,0.07228915662650602,0.6024096385542169,11.46987951807229,228.93150804647163,9.310892823305634,0.9431765675128503,13.76610514659258,6.252620554930905,1.649991209572943,8.644646581899803,2.3734939759036147,1.2048192771084338,2.4096385542168677,3.614457831325301,,,,,,,,,,,,,
ALB,102,12,0,12,0.49019607843137253,0.5686274509803921,0.3627450980392157,6.1568627450980395,206.92749568751307,9.413460862865948,0.6782678185141545,6.5458899060394575,2.3478735007099916,3.397512143447706,6.207723949364029,1.1372549019607843,11.76470588235294,0.0,11.76470588235294,10.0,10.6,79.776,62.16,26701.6749563776,2377128.0,21.9,4.47,1464.53502823031,7.05240345,3189.853333333333,111.09333333333336,114.32333333333334
AND,122,18,2,20,0.680327868852459,0.28688524590163933,0.48360655737704916,11.040983606557377,276.3153635185238,16.214560387912584,0.5034850931151201,16.867427268800782,8.414533784578504,3.394316942985165,6.747970893071946,1.7049180327868851,14.754098360655737,1.639344262295082,16.39344262295082,,10.1,84.188,48.17,74939.4746038578,81938.0,36.3,9.68,5519.41470327922,7.69928026,,,
ARE,62,12,2,14,0.6612903225806451,0.3548387096774194,0.4838709677419355,9.274193548387096,245.31025490577892,6.761161375117006,0.8638811779315902,12.433024730082186,5.450991707958747,3.49524388255935,10.798870005548412,2.5,19.35483870967742,3.225806451612903,22.58064516129032,11.6,20.7,83.069,71.33,79228.738801276,10986400.0,9.0,2.08,3727.12127967465,4.97095108,3141.943333333333,103.64,127.78
ARG,663,91,5,96,0.8205128205128205,0.24434389140271492,0.5852187028657617,12.648567119155354,298.3530395570762,17.85556356089377,0.821899477132174,13.110616556182746,5.364066733009753,2.504009931102486,6.249622143205804,3.5972850678733033,13.725490196078432,0.7541478129713424,14.479638009049776,13.4,14.0,77.543,68.42,30431.1931223693,45696159.0,23.8,8.05,3089.30758524707,10.2695179,3352.5066666666667,120.94,137.84333333333333
AUS,2771,436,23,459,0.6845904005774088,0.29014796102490076,0.4702273547455792,10.587874413569109,275.31195570112754,13.652035589746458,1.104554931025926,13.42407257795319,5.18793326018896,3.696745214226598,7.321049440332704,2.2107542403464455,15.734391916275714,0.8300252616383976,16.56441717791411,8.3,7.4,83.0512195121951,63.96,72111.1844628126,27196812.0,13.1,10.29,7690.82499337234,10.39852047,3525.093333333333,120.66333333333334,158.78333333333333
AUT,6254,367,70,437,0.5535657179405181,0.2612727854173329,0.49440358170770704,10.186920370962584,266.5901309404318,13.590968526571386,0.8584226122472445,13.953730213006413,5.462379300544558,2.841002106713477,7.329898810489427,1.46945954589063,5.868244323632875,1.1192836584585866,6.9875279820914615,9.9,5.4,81.9951219512195,44.99,73911.439663136,9177982.0,24.9,11.51,8250.10666677903,11.8325634,3783.643333333333,108.76333333333332,186.00333333333333
BEL,22451,2189,255,2444,0.6389915816667409,0.2719255267025968,0.4936083025255,10.288361320208454,283.8659703934186,12.422328305189332,0.8602347955917093,16.143457735438698,5.614318727047139,2.779030636827968,7.490564109177176,2.1007972918800943,9.750122488975991,1.1358068682909446,10.885929357266937,9.2,5.9,82.3,51.08,73514.4831045258,11858610.0,26.7,9.43,7489.31179853622,10.80371571,3917.0433333333335,116.28666666666668,179.64666666666668
BGR,2205,128,21,149,0.5877551020408164,0.23809523809523808,0.5505668934240363,12.151927437641723,296.66404436081876,12.092818246944233,0.9194681199178167,17.103731862472628,7.176618268913113,2.375561888373695,7.76927458429738,1.7882086167800453,5.804988662131519,0.9523809523809524,6.757369614512472,25.6,7.4,75.7609756097561,51.95,41969.4515718999,6441421.0,39.5,11.62,2969.55151843467,7.91853094,2995.526666666666,87.41666666666667,137.54999999999998
BIH,63,3,0,3,0.7301587301587301,0.2222222222222222,0.5396825396825397,11.65079365079365,283.05361661233695,16.27295051353875,0.67785231870526,13.178562091503268,4.833054573003677,5.205431468513331,6.205282707188631,2.0634920634920637,4.761904761904762,0.0,4.761904761904762,17.2,10.3,78.044,56.86,25043.0886396127,3164253.0,36.2,5.87,1989.05672091938,8.9216938,3425.083333333333,110.75333333333332,94.92333333333332
BOL,755,70,3,73,0.743046357615894,0.23841059602649006,0.6052980132450331,12.760264900662252,311.33309658341403,15.57438620849578,1.1818986857720009,15.15951293968418,5.938779633334676,3.4119578938377915,6.079553407362891,2.92317880794702,9.271523178807946,0.3973509933774834,9.668874172185431,19.9,3.4,68.739,65.14,12877.6351184372,12413315.0,12.4,3.59,755.882068996814,6.91864729,2374.9966666666664,80.92666666666666,57.22
BRA,3221,526,70,596,0.5787022663769016,0.3930456380006209,0.4209872710338404,8.299285936044706,268.21134882749044,10.442481518785788,0.6882946679527133,12.74239519507108,5.192216916289497,1.926364952418247,8.206037966038398,1.391803787643589,16.330332194970506,2.173238124805961,18.503570319776465,14.5,10.6,76.023,63.0,22338.4765640635,211998573.0,12.2,7.7,2070.43822679684,9.73092747,3405.873333333333,104.59666666666664,141.21666666666667
CAN,11628,1038,102,1140,0.6484348125214998,0.2564499484004128,0.5116099071207431,10.68171654626763,289.21313452148155,15.307811241177212,0.8880127301143952,14.964798334727679,5.155240738098423,2.9521689976904777,6.253949830197515,2.1406948744410044,8.926728586171311,0.8771929824561403,9.803921568627452,9.7,7.7,82.1080487804878,59.15,64610.3795171971,41288599.0,12.0,9.89,7645.92699305836,11.3095665,3585.286666666667,114.07,160.89666666666668
CHE,10023,717,104,821,0.6178788785792677,0.2265788686022149,0.5015464431806844,10.68213109847351,279.01378819785987,13.086632547503209,0.8675241352826718,15.997407702335561,5.815612158503822,2.44818904106887,7.36447053561084,1.6629751571385814,7.153546842262795,1.0376134889753565,8.191160331238152,7.5,5.3,84.4073170731707,40.58,96497.6947971323,9005582.0,25.5,10.07,10601.9331816578,11.69096088,3434.346666666667,103.02,163.5666666666667
CHL,866,210,17,227,0.7471131639722863,0.37644341801385683,0.4110854503464203,8.391454965357967,248.55994945433943,8.793953551023693,1.4358520510857904,11.938423734844406,4.209689404770386,1.703138813456273,8.10768371186423,3.039260969976905,24.249422632794456,1.9630484988452657,26.212471131639724,9.4,12.2,81.359,78.79,36181.156616977,19764771.0,28.7,7.56,3611.90416214736,10.53092575,3101.5466666666666,104.24333333333334,97.14
CHN,82,3,1,4,0.6463414634146342,0.24390243902439024,0.5365853658536586,11.097560975609756,243.6160189194425,13.801817104663606,1.3493570399428902,11.945726247857843,4.256208333407835,2.723455782560103,5.344825229413527,1.5731707317073171,3.6585365853658534,1.2195121951219512,4.878048780487805,15.9,11.9,78.017,37.46,27104.8702677463,1408975000.0,23.4,4.58,1486.88389429767,5.94388866,3461.2333333333336,128.31333333333333,97.48666666666668
COL,223,51,2,53,0.7668161434977578,0.35874439461883406,0.336322869955157,7.210762331838565,189.7146031444936,8.0571468504075,0.6551268010934401,8.74913172149625,3.010214753178638,1.9197633725231276,6.031653848326274,2.7219730941704037,22.869955156950674,0.8968609865470852,23.766816143497756,10.3,8.4,77.913,59.72,22349.436440123,52886363.0,8.2,4.24,1757.86920291765,8.14139366,3122.4666666666667,82.74666666666667,104.70666666666666
CUB,55,17,0,17,0.7272727272727273,0.41818181818181815,0.45454545454545453,7.5636363636363635,271.6413317610642,3.877143011237549,0.8718897301164198,14.697481777518998,5.151725691516175,6.751672421444839,15.524439344308231,1.9454545454545455,30.909090909090907,0.0,30.909090909090907,,,,,,,,,,,,,
CZE,1578,123,15,138,0.6641318124207858,0.22370088719898606,0.4955640050697085,10.602027883396705,262.52649551634,16.08225888171207,0.6765554817524786,12.544293801312705,5.052608084213492,3.3145100064047233,5.928286277164492,1.6520912547528517,7.79467680608365,0.9505703422053232,8.745247148288973,14.2,7.6,79.9780487804878,59.54,57285.4237001379,10905028.0,29.9,11.99,4674.02676171649,8.50710297,3386.183333333333,96.53,159.27666666666667
DEU,66871,4240,1074,5314,0.5879080617906117,0.23851893945058397,0.5146176967594324,10.75694994840813,269.60530513099644,12.727201309329862,0.9945759548786447,14.783006996710542,5.524990819653076,3.047337143161933,7.624139916235525,1.544436302732126,6.340566164705179,1.606077372852208,7.946643537557387,11.6,7.8,80.7926829268293,53.82,73551.9347696836,83516593.0,21.3,11.84,8825.61480783196,12.26655293,3580.86,109.50666666666666,163.66333333333333
DNK,883,94,3,97,0.6500566251415628,0.2548131370328426,0.5413363533408834,11.851642129105322,293.2766172061177,15.635117240297408,1.1667654180971228,14.524470630040542,5.573342836132828,3.4008754073324954,7.756320058681814,1.8459796149490373,10.645526613816534,0.33975084937712347,10.98527746319366,10.7,6.4,82.2536585365854,44.91,81878.2349849181,5976992.0,16.2,9.49,7261.55360583993,9.38812923,3773.846666666667,126.42333333333332,157.79
