threshold,f1_macro,mcc,sensitivity,specificity,brier
0.5,0.8574324219851893,0.7154032671710034,,,0.038716947719644505
0.1237,0.787791515456155,0.615439726481275,0.8904,0.8969,0.038716947719644505
