param,value
n_estimators,731.0
max_depth,12.0
learning_rate,0.04702111446900098
subsample,0.9501090518853561
colsample_bytree,0.6748003499650085
min_child_weight,2.0
gamma,0.0007887131112243196
reg_alpha,0.0006490369625884748
reg_lambda,0.13877922744358917
scale_pos_weight,2.3695703571347093
